id,category,question,gold_sql,gold_tables,gold_columns,expected_features,debug_focus
11,group_by,Tong Revenue va tong Profit theo tung Region trong nam 2024 la bao nhieu?,"SELECT l.""Region"", SUM(oi.""Revenue"") AS total_revenue, SUM(oi.""Profit"") AS total_profit FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"" ORDER BY l.""Region""",locations|orders|order_items,locations.Region|order_items.Revenue|order_items.Profit|orders.Order_Date,join|date_filter|group_by,Order_Date plus measures plus dimension
12,group_by,Revenue hang thang theo tung Region trong giai doan 2023 den 2024 la bao nhieu?,"SELECT l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') AS month, SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') ORDER BY l.""Region"", month",locations|orders|order_items,locations.Region|orders.Order_Date|order_items.Revenue,join|date_bucket|group_by,time bucket by region
13,group_by,Tong Revenue theo tung Category va Sub_Category la bao nhieu?,"SELECT p.""Category"", p.""Sub_Category"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY p.""Category"", p.""Sub_Category"" ORDER BY p.""Category"", total_revenue DESC",products|order_items,products.Category|products.Sub_Category|order_items.Revenue,join|group_by,product hierarchy retrieval
14,group_by,So khach hang duy nhat theo tung State la bao nhieu?,"SELECT l.""State"", COUNT(DISTINCT c.""Customer_ID"") AS customer_count FROM mock_relational.orders o JOIN mock_relational.customers c ON o.""Customer_ID"" = c.""Customer_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" GROUP BY l.""State"" ORDER BY l.""State""",customers|orders|locations,customers.Customer_ID|locations.State,join|count_distinct|group_by,distinct customer by location
15,group_by,Gia tri don hang trung binh theo tung Region la bao nhieu?,"WITH order_revenue AS (SELECT o.""Order_ID"", l.""Region"", SUM(oi.""Revenue"") AS order_revenue FROM mock_relational.orders o JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.order_items oi ON o.""Order_ID"" = oi.""Order_ID"" GROUP BY o.""Order_ID"", l.""Region"") SELECT ""Region"", AVG(order_revenue) AS avg_order_revenue FROM order_revenue GROUP BY ""Region"" ORDER BY ""Region""",locations|orders|order_items,locations.Region|orders.Order_ID|order_items.Revenue,join|nested_aggregation|group_by,nested order-level aggregation
16,multi_join,Tong Revenue theo tung khach hang va Region trong nam 2024 la bao nhieu?,"SELECT c.""Customer_Name"", l.""Region"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.orders o JOIN mock_relational.customers c ON o.""Customer_ID"" = c.""Customer_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.order_items oi ON o.""Order_ID"" = oi.""Order_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY c.""Customer_Name"", l.""Region"" ORDER BY total_revenue DESC, c.""Customer_Name"" LIMIT 100",customers|orders|locations|order_items,customers.Customer_Name|locations.Region|order_items.Revenue|orders.Order_Date,join|date_filter|group_by,Order_Date with customer/location multi-join
17,multi_join,Nhung san pham nao duoc mua boi khach hang o State California va co tong Profit duong?,"SELECT p.""Product_Name"", SUM(oi.""Profit"") AS total_profit FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE l.""State"" = 'California' GROUP BY p.""Product_Name"" HAVING SUM(oi.""Profit"") > 0 ORDER BY total_profit DESC, p.""Product_Name""",products|order_items|orders|locations,products.Product_Name|order_items.Profit|locations.State,join|value_filter|group_by|having,join chain products-orders-locations
18,multi_join,So khach hang duy nhat theo tung Category va Region trong nam 2024 la bao nhieu?,"SELECT p.""Category"", l.""Region"", COUNT(DISTINCT c.""Customer_ID"") AS customer_count FROM mock_relational.orders o JOIN mock_relational.customers c ON o.""Customer_ID"" = c.""Customer_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.order_items oi ON o.""Order_ID"" = oi.""Order_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY p.""Category"", l.""Region"" ORDER BY p.""Category"", l.""Region""",customers|orders|locations|order_items|products,customers.Customer_ID|products.Category|locations.Region|orders.Order_Date,join|date_filter|count_distinct|group_by,all core tables join
19,multi_join,"Voi moi State, san pham nao co Revenue cao nhat trong nam 2024?","WITH product_state AS (SELECT l.""State"", p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""State"", p.""Product_Name""), ranked AS (SELECT ""State"", ""Product_Name"", total_revenue, ROW_NUMBER() OVER (PARTITION BY ""State"" ORDER BY total_revenue DESC, ""Product_Name"") AS rn FROM product_state) SELECT ""State"", ""Product_Name"", total_revenue FROM ranked WHERE rn = 1 ORDER BY ""State""",locations|orders|order_items|products,locations.State|products.Product_Name|order_items.Revenue|orders.Order_Date,join|date_filter|window_function|group_by|rank_per_group,per-state product ranking
20,multi_join,Tim khach hang da mua it nhat 3 Category khac nhau va co tong Revenue lon hon Revenue trung binh cua toan bo khach hang.,"WITH customer_stats AS (SELECT c.""Customer_Name"", COUNT(DISTINCT p.""Category"") AS category_count, SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.customers c JOIN mock_relational.orders o ON c.""Customer_ID"" = o.""Customer_ID"" JOIN mock_relational.order_items oi ON o.""Order_ID"" = oi.""Order_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY c.""Customer_Name""), avg_customer AS (SELECT AVG(total_revenue) AS avg_total_revenue FROM customer_stats) SELECT cs.""Customer_Name"", cs.category_count, cs.total_revenue FROM customer_stats cs CROSS JOIN avg_customer ac WHERE cs.category_count >= 3 AND cs.total_revenue > ac.avg_total_revenue ORDER BY cs.total_revenue DESC, cs.""Customer_Name"" LIMIT 100",customers|orders|order_items|products,customers.Customer_Name|products.Category|order_items.Revenue,join|nested_aggregation|count_distinct|having,customer cohort nested aggregation
21,profit_margin,Tinh Profit Margin cua tung Region trong nam 2024 va xep hang tu cao xuong thap.,"SELECT l.""Region"", SUM(oi.""Profit"") / NULLIF(SUM(oi.""Revenue""), 0) AS profit_margin FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"" ORDER BY profit_margin DESC, l.""Region""",locations|orders|order_items,locations.Region|order_items.Profit|order_items.Revenue|orders.Order_Date,join|date_filter|profit_margin|group_by|ranking,Order_Date plus profit margin definition
22,profit_margin,Sub_Category nao co Profit Margin cao hon Profit Margin trung binh cua Category ma no thuoc ve?,"WITH category_margin AS (SELECT p.""Category"", SUM(oi.""Profit"") / NULLIF(SUM(oi.""Revenue""), 0) AS category_margin FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY p.""Category""), sub_margin AS (SELECT p.""Category"", p.""Sub_Category"", SUM(oi.""Profit"") / NULLIF(SUM(oi.""Revenue""), 0) AS sub_category_margin FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY p.""Category"", p.""Sub_Category"") SELECT sm.""Category"", sm.""Sub_Category"", sm.sub_category_margin, cm.category_margin FROM sub_margin sm JOIN category_margin cm ON sm.""Category"" = cm.""Category"" WHERE sm.sub_category_margin > cm.category_margin ORDER BY sm.""Category"", sm.sub_category_margin DESC",products|order_items,products.Category|products.Sub_Category|order_items.Profit|order_items.Revenue,join|profit_margin|nested_aggregation,business metric semantic definition
23,profit_margin,"Trong Top 20 san pham theo tong Revenue, san pham nao co tong Profit am?","WITH product_totals AS (SELECT p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue, SUM(oi.""Profit"") AS total_profit FROM mock_relational.order_items oi JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" GROUP BY p.""Product_Name""), ranked AS (SELECT ""Product_Name"", total_revenue, total_profit, ROW_NUMBER() OVER (ORDER BY total_revenue DESC, ""Product_Name"") AS revenue_rank FROM product_totals) SELECT ""Product_Name"", total_revenue, total_profit FROM ranked WHERE revenue_rank <= 20 AND total_profit < 0 ORDER BY revenue_rank",products|order_items,products.Product_Name|order_items.Revenue|order_items.Profit,join|top_k|nested_aggregation|negative_profit,top revenue plus profit filter
24,profit_margin,"Voi moi State trong nam 2024, Category nao co Profit Margin cao nhat?","WITH category_state AS (SELECT l.""State"", p.""Category"", SUM(oi.""Profit"") / NULLIF(SUM(oi.""Revenue""), 0) AS profit_margin FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""State"", p.""Category""), ranked AS (SELECT ""State"", ""Category"", profit_margin, ROW_NUMBER() OVER (PARTITION BY ""State"" ORDER BY profit_margin DESC, ""Category"") AS rn FROM category_state) SELECT ""State"", ""Category"", profit_margin FROM ranked WHERE rn = 1 ORDER BY ""State""",locations|orders|order_items|products,locations.State|products.Category|order_items.Profit|order_items.Revenue|orders.Order_Date,join|date_filter|profit_margin|window_function|rank_per_group,state-category margin ranking
25,profit_margin,Profit Margin hang thang cua tung Region trong nam 2024 la bao nhieu?,"SELECT l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') AS month, SUM(oi.""Profit"") / NULLIF(SUM(oi.""Revenue""), 0) AS profit_margin FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') ORDER BY l.""Region"", month",locations|orders|order_items,locations.Region|orders.Order_Date|order_items.Profit|order_items.Revenue,join|date_filter|date_bucket|profit_margin|group_by,monthly margin with time dimension
26,hard_analytics,"Tim Top 10 san pham co ty le tang truong Revenue cao nhat tu nam 2023 sang nam 2024, chi xet san pham co Revenue nam 2023 lon hon 10000 USD.","WITH yearly AS (SELECT p.""Product_Name"", SUM(CASE WHEN o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2024-01-01' THEN oi.""Revenue"" ELSE 0 END) AS revenue_2023, SUM(CASE WHEN o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' THEN oi.""Revenue"" ELSE 0 END) AS revenue_2024 FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.products p ON oi.""Product_ID"" = p.""Product_ID"" WHERE o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY p.""Product_Name""), growth AS (SELECT ""Product_Name"", revenue_2023, revenue_2024, (revenue_2024 - revenue_2023) / NULLIF(revenue_2023, 0) * 100 AS growth_pct FROM yearly WHERE revenue_2023 > 10000) SELECT ""Product_Name"", revenue_2023, revenue_2024, growth_pct FROM growth ORDER BY growth_pct DESC, ""Product_Name"" LIMIT 10",products|order_items|orders,products.Product_Name|order_items.Revenue|orders.Order_Date,join|yoy|growth_pct|date_filter|nested_aggregation|top_k,YoY growth requires Order_Date and product join
27,hard_analytics,Can it nhat bao nhieu khach hang lon nhat theo Revenue de tao ra 80% tong Revenue cua cong ty?,"WITH customer_revenue AS (SELECT c.""Customer_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.customers c JOIN mock_relational.orders o ON c.""Customer_ID"" = o.""Customer_ID"" JOIN mock_relational.order_items oi ON o.""Order_ID"" = oi.""Order_ID"" GROUP BY c.""Customer_Name""), ranked AS (SELECT ""Customer_Name"", total_revenue, SUM(total_revenue) OVER (ORDER BY total_revenue DESC, ""Customer_Name"") AS cumulative_revenue, SUM(total_revenue) OVER () AS company_revenue, ROW_NUMBER() OVER (ORDER BY total_revenue DESC, ""Customer_Name"") AS rn FROM customer_revenue) SELECT MIN(rn) AS customer_count_for_80pct FROM ranked WHERE cumulative_revenue >= company_revenue * 0.8",customers|orders|order_items,customers.Customer_Name|order_items.Revenue,join|pareto|cumulative_sum|window_function,Pareto cumulative contribution
28,hard_analytics,Hien thi Revenue hang thang va Revenue luy ke cua tung Region trong nam 2024.,"WITH monthly AS (SELECT l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') AS month, SUM(oi.""Revenue"") AS monthly_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2024-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM')) SELECT ""Region"", month, monthly_revenue, SUM(monthly_revenue) OVER (PARTITION BY ""Region"" ORDER BY month) AS cumulative_revenue FROM monthly ORDER BY ""Region"", month",locations|orders|order_items,locations.Region|orders.Order_Date|order_items.Revenue,join|date_filter|date_bucket|cumulative_sum|window_function,monthly cumulative sum
29,hard_analytics,Tim cac thang ma Revenue cua tung Region giam hon 30% so voi thang truoc do trong giai doan 2023 den 2024.,"WITH monthly AS (SELECT l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM') AS month, SUM(oi.""Revenue"") AS monthly_revenue FROM mock_relational.order_items oi JOIN mock_relational.orders o ON oi.""Order_ID"" = o.""Order_ID"" JOIN mock_relational.locations l ON o.""Location_ID"" = l.""Location_ID"" WHERE o.""Order_Date"" >= '2023-01-01' AND o.""Order_Date"" < '2025-01-01' GROUP BY l.""Region"", TO_CHAR(o.""Order_Date"", 'YYYY-MM')), lagged AS (SELECT ""Region"", month, monthly_revenue, LAG(monthly_revenue) OVER (PARTITION BY ""Region"" ORDER BY month) AS previous_month_revenue FROM monthly) SELECT ""Region"", month, monthly_revenue, previous_month_revenue FROM lagged WHERE previous_month_revenue IS NOT NULL AND monthly_revenue < previous_month_revenue * 0.7 ORDER BY ""Region"", month",locations|orders|order_items,locations.Region|orders.Order_Date|order_items.Revenue,join|date_bucket|lag|window_function|comparison,monthly lag comparison
30,hard_analytics,10% san pham co tong Revenue cao nhat dong gop bao nhieu phan tram tong Revenue?,"WITH product_revenue AS (SELECT p.""Product_Name"", SUM(oi.""Revenue"") AS total_revenue FROM mock_relational.products p JOIN mock_relational.order_items oi ON p.""Product_ID"" = oi.""Product_ID"" GROUP BY p.""Product_Name""), ranked AS (SELECT ""Product_Name"", total_revenue, ROW_NUMBER() OVER (ORDER BY total_revenue DESC, ""Product_Name"") AS rn, COUNT(*) OVER () AS product_count, SUM(total_revenue) OVER () AS company_revenue FROM product_revenue), top_products AS (SELECT total_revenue, company_revenue FROM ranked WHERE rn <= CEIL(product_count * 0.10)) SELECT SUM(total_revenue) / MAX(company_revenue) * 100 AS top_10_percent_revenue_share FROM top_products",products|order_items,products.Product_Name|order_items.Revenue,join|top_percent|window_function|contribution_analysis,top percentile contribution
