id,category,difficulty,question,gold_sql,generated_sql,is_valid,execution_success,is_correct,strict_correct,relaxed_correct,match_type,error,repair_attempted,failure_target
19,simple_filter,easy,Liệt kê đơn hàng thuộc bang California.,"SELECT ""Order_Date"", ""State"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""State"" = 'California' LIMIT 100","SELECT ""Order_Date"", ""State"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""State"" ILIKE 'California' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
20,simple_filter,easy,Liệt kê đơn hàng thuộc danh mục Home & Furniture.,"SELECT ""Order_Date"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Category"" = 'Home & Furniture' LIMIT 100","SELECT ""Order_Date"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Category"" ILIKE 'Home & Furniture' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
21,simple_filter,easy,Liệt kê đơn hàng thuộc danh mục con Smartphones.,"SELECT ""Order_Date"", ""Sub_Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Sub_Category"" = 'Smartphones' LIMIT 100","SELECT ""Order_Date"", ""Sub_Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Sub_Category"" ILIKE 'Smartphones' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
22,simple_filter,easy,Liệt kê đơn hàng có sản phẩm Apple Watch.,"SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Product_Name"" = 'Apple Watch' LIMIT 100","SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Product_Name"" ILIKE 'Apple Watch' LIMIT 100",True,True,True,True,True,strict,,False,simple text filter
23,simple_filter,easy,Liệt kê đơn hàng có doanh thu lớn hơn 5000.,"SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Revenue"" > 5000 LIMIT 100","SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Revenue"" > 5000 LIMIT 100",True,True,True,True,True,strict,,False,numeric filter
24,simple_filter,easy,Liệt kê đơn hàng có lợi nhuận âm.,"SELECT ""Order_Date"", ""Product_Name"", ""Profit"" FROM product_sales WHERE ""Profit"" < 0 LIMIT 100",,False,False,False,False,False,generation_error,LLM output missing required fields: explanation,False,numeric filter empty allowed
25,multi_condition_filter,medium,Liệt kê đơn hàng ở khu vực Centre thuộc danh mục Electronics.,"SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'Centre' AND ""Category"" = 'Electronics' LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" ILIKE 'Centre' AND ""Category"" ILIKE 'Electronics' LIMIT 100",True,True,True,True,True,strict,,False,two-condition filter
26,multi_condition_filter,medium,Liệt kê đơn hàng ở thành phố Aurora có doanh thu trên 1000.,"SELECT ""Order_Date"", ""City"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""City"" = 'Aurora' AND ""Revenue"" > 1000 LIMIT 100","SELECT ""Order_Date"", ""City"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""City"" ILIKE 'Aurora' AND ""Revenue"" > 1000 LIMIT 100",True,True,True,True,True,strict,,False,two-condition filter
27,multi_condition_filter,medium,Liệt kê đơn hàng Accessories tại khu vực West.,"SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Category"" = 'Accessories' AND ""Region"" = 'West' LIMIT 100",,False,False,False,False,False,generation_error,LLM output missing required fields: explanation,False,two-condition filter
28,multi_condition_filter,medium,Liệt kê đơn hàng sản phẩm Backpack có số lượng lớn hơn 2.,"SELECT ""Order_Date"", ""Product_Name"", ""Quantity"", ""Revenue"" FROM product_sales WHERE ""Product_Name"" = 'Backpack' AND ""Quantity"" > 2 LIMIT 100","SELECT ""Order_Date"", ""Product_Name"", ""Quantity"", ""Revenue"" FROM product_sales WHERE ""Product_Name"" ILIKE 'Backpack' AND ""Quantity"" > 2 LIMIT 100",True,True,True,True,True,strict,,False,two-condition filter
29,multi_condition_filter,medium,Liệt kê đơn hàng ở bang Arizona thuộc danh mục Clothing & Apparel.,"SELECT ""Order_Date"", ""State"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""State"" = 'Arizona' AND ""Category"" = 'Clothing & Apparel' LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""State"" = 'Arizona' AND ""Category"" = 'Clothing & Apparel' LIMIT 100",True,True,False,False,False,mismatch,Result mismatch,False,two-condition filter
30,multi_condition_filter,hard,"Liệt kê đơn hàng khu vực South, danh mục Electronics, doanh thu trên 2000.","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'South' AND ""Category"" = 'Electronics' AND ""Revenue"" > 2000 LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'South' AND ""Category"" = 'Electronics' AND ""Revenue"" > 2000 LIMIT 100",True,True,True,True,True,strict,,False,three-condition filter
31,multi_condition_filter,hard,"Liệt kê đơn hàng ở East, danh mục con Laptops, lợi nhuận trên 300.","SELECT ""Order_Date"", ""Region"", ""Sub_Category"", ""Product_Name"", ""Profit"" FROM product_sales WHERE ""Region"" = 'East' AND ""Sub_Category"" = 'Laptops' AND ""Profit"" > 300 LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Sub_Category"", ""Product_Name"", ""Profit"" FROM product_sales WHERE ""Region"" = 'East' AND ""Sub_Category"" = 'Laptops' AND ""Profit"" > 300 LIMIT 100",True,True,True,True,True,strict,,False,three-condition filter
32,multi_condition_filter,hard,Liệt kê đơn hàng ở West trong năm 2024 có doanh thu trên 1500.,"SELECT ""Order_Date"", ""Region"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'West' AND ""Order_Date"" >= '2024-01-01' AND ""Order_Date"" < '2025-01-01' AND ""Revenue"" > 1500 LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Region"" = 'West' AND EXTRACT(YEAR FROM ""Order_Date"") = 2024 AND ""Revenue"" > 1500 LIMIT 100",True,True,True,True,True,strict,,False,date and numeric filter
33,multi_condition_filter,hard,Liệt kê đơn hàng Home & Furniture tại California trong năm 2023.,"SELECT ""Order_Date"", ""State"", ""Category"", ""Product_Name"", ""Revenue"" FROM product_sales WHERE ""Category"" = 'Home & Furniture' AND ""State"" = 'California' AND ""Order_Date"" >= '2023-01-01' AND ""Order_Date"" < '2024-01-01' LIMIT 100",,False,False,False,False,False,generation_error,LLM output missing required fields: explanation,False,date and text filter
34,multi_condition_filter,hard,"Liệt kê đơn hàng ở Centre, danh mục Accessories, số lượng từ 3 trở lên và lợi nhuận trên 100.","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Quantity"", ""Profit"" FROM product_sales WHERE ""Region"" = 'Centre' AND ""Category"" = 'Accessories' AND ""Quantity"" >= 3 AND ""Profit"" > 100 LIMIT 100","SELECT ""Order_Date"", ""Region"", ""Category"", ""Product_Name"", ""Quantity"", ""Revenue"", ""Profit"" FROM product_sales WHERE ""Region"" = 'Centre' AND ""Category"" = 'Accessories' AND ""Quantity"" >= 3 AND ""Profit"" > 100 LIMIT 100",True,True,True,False,True,gold_subset,,False,four-condition filter
35,aggregate,medium,Tổng lợi nhuận của toàn bộ đơn hàng là bao nhiêu?,"SELECT SUM(""Profit"") AS total_profit FROM product_sales","SELECT SUM(""Profit"") AS total_profit FROM product_sales",True,True,True,True,True,strict,,False,aggregate metric
36,aggregate,medium,Doanh thu trung bình mỗi dòng bán hàng là bao nhiêu?,"SELECT AVG(""Revenue"") AS average_revenue FROM product_sales","SELECT AVG(""Revenue"") AS average_revenue FROM product_sales",True,True,True,True,True,strict,,False,aggregate metric
37,aggregate,medium,Đơn giá trung bình là bao nhiêu?,"SELECT AVG(""Unit_Price"") AS average_unit_price FROM product_sales","SELECT AVG(""Unit_Price"") AS average_unit_price FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,aggregate metric
38,aggregate,medium,Doanh thu lớn nhất của một dòng đơn hàng là bao nhiêu?,"SELECT MAX(""Revenue"") AS max_revenue FROM product_sales","SELECT MAX(""Revenue"") AS max_revenue FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,aggregate metric
39,aggregate,medium,Lợi nhuận nhỏ nhất là bao nhiêu?,"SELECT MIN(""Profit"") AS min_profit FROM product_sales","SELECT MIN(""Profit"") AS min_profit FROM product_sales LIMIT 100",True,True,True,True,True,strict,,False,aggregate metric
40,aggregate,medium,Tổng số lượng bán cho danh mục Electronics là bao nhiêu?,"SELECT SUM(""Quantity"") AS total_quantity FROM product_sales WHERE ""Category"" = 'Electronics'","SELECT SUM(""Quantity"") AS total_quantity FROM product_sales WHERE ""Category"" = 'Electronics'",True,True,True,True,True,strict,,False,aggregate with filter
41,aggregate,medium,Tổng doanh thu của khu vực Centre là bao nhiêu?,"SELECT SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'Centre'","SELECT SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'Centre'",True,True,True,True,True,strict,,False,aggregate with filter
42,aggregate,medium,Lợi nhuận trung bình của danh mục Accessories là bao nhiêu?,"SELECT AVG(""Profit"") AS average_profit FROM product_sales WHERE ""Category"" = 'Accessories'","SELECT AVG(""Profit"") AS average_profit FROM product_sales WHERE ""Category"" = 'Accessories'",True,True,True,True,True,strict,,False,aggregate with filter
43,aggregate,medium,Đơn giá cao nhất của sản phẩm Apple iPhone 14 là bao nhiêu?,"SELECT MAX(""Unit_Price"") AS max_unit_price FROM product_sales WHERE ""Product_Name"" = 'Apple iPhone 14'","SELECT MAX(""Unit_Price"") AS max_unit_price FROM product_sales WHERE ""Product_Name"" = 'Apple iPhone 14'",True,True,True,True,True,strict,,False,aggregate with filter
44,aggregate,hard,Tổng doanh thu của Smartphones ở khu vực East năm 2024 là bao nhiêu?,"SELECT SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Sub_Category"" = 'Smartphones' AND ""Region"" = 'East' AND ""Order_Date"" >= '2024-01-01' AND ""Order_Date"" < '2025-01-01'","SELECT SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Sub_Category"" ILIKE 'Smartphones' AND ""Region"" ILIKE 'East' AND EXTRACT(YEAR FROM ""Order_Date"") = 2024",True,True,True,True,True,strict,,False,aggregate with multi-condition date filter
45,group_by,medium,Tổng doanh thu theo từng danh mục.,"SELECT ""Category"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Category""","SELECT ""Category"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Category"" LIMIT 100",True,True,True,True,True,strict,,False,group by dimension
46,group_by,medium,Tổng lợi nhuận theo từng khu vực.,"SELECT ""Region"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Region""","SELECT ""Region"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Region"" LIMIT 100",True,True,True,True,True,strict,,False,group by dimension
47,group_by,medium,Số lượng bán ra theo từng danh mục con.,"SELECT ""Sub_Category"", SUM(""Quantity"") AS total_quantity FROM product_sales GROUP BY ""Sub_Category""","SELECT ""Sub_Category"", SUM(""Quantity"") AS total_quantity FROM product_sales GROUP BY ""Sub_Category"" ORDER BY total_quantity DESC LIMIT 100",True,True,True,True,True,strict,,False,group by dimension
48,group_by,medium,Số đơn hàng theo từng thành phố.,"SELECT ""City"", COUNT(*) AS order_count FROM product_sales GROUP BY ""City""","SELECT ""City"", COUNT(*) AS order_count FROM product_sales GROUP BY ""City"" LIMIT 100",True,True,False,False,False,mismatch,Result mismatch,False,group by dimension
49,group_by,medium,Doanh thu trung bình theo từng khu vực.,"SELECT ""Region"", AVG(""Revenue"") AS average_revenue FROM product_sales GROUP BY ""Region""","SELECT ""Region"", AVG(""Revenue"") AS average_revenue FROM product_sales GROUP BY ""Region"" LIMIT 100",True,True,True,True,True,strict,,False,group by dimension
50,group_by,medium,Lợi nhuận trung bình theo từng danh mục.,"SELECT ""Category"", AVG(""Profit"") AS average_profit FROM product_sales GROUP BY ""Category""","SELECT ""Category"", AVG(""Profit"") AS average_profit FROM product_sales GROUP BY ""Category""",True,True,True,True,True,strict,,False,group by dimension
51,group_by,medium,Số khách hàng khác nhau theo từng khu vực.,"SELECT ""Region"", COUNT(DISTINCT ""Customer_Name"") AS customer_count FROM product_sales GROUP BY ""Region""","SELECT ""Region"", COUNT(DISTINCT ""Customer_Name"") AS customer_count FROM product_sales GROUP BY ""Region"" LIMIT 100",True,True,True,True,True,strict,,False,group by distinct count
52,group_by,medium,Doanh thu theo từng bang trong khu vực West.,"SELECT ""State"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'West' GROUP BY ""State""","SELECT ""State"" , SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'West' GROUP BY ""State"" LIMIT 100",True,True,True,True,True,strict,,False,group by with filter
53,group_by,hard,Danh mục nào có tổng doanh thu trên 30000000?,"SELECT ""Category"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Category"" HAVING SUM(""Revenue"") > 30000000","SELECT ""Category"" FROM product_sales GROUP BY ""Category"" HAVING SUM(""Revenue"") > 30000000 LIMIT 100",True,True,False,False,False,mismatch,Result mismatch,False,group by having
54,group_by,hard,"Khu vực nào có lợi nhuận trung bình trên 150, sắp xếp giảm dần?","SELECT ""Region"", AVG(""Profit"") AS average_profit FROM product_sales GROUP BY ""Region"" HAVING AVG(""Profit"") > 150 ORDER BY average_profit DESC","SELECT ""Region"", AVG(""Profit"") AS average_profit FROM product_sales GROUP BY ""Region"" HAVING AVG(""Profit"") > 150 ORDER BY average_profit DESC LIMIT 100",True,True,True,True,True,strict,,False,group by having order
55,group_by,hard,Doanh thu theo tháng trong năm 2024.,"SELECT TO_CHAR(""Order_Date"", 'YYYY-MM') AS order_month, SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Order_Date"" >= '2024-01-01' AND ""Order_Date"" < '2025-01-01' GROUP BY order_month ORDER BY order_month","SELECT TO_CHAR(""Order_Date"", 'YYYY-MM') AS month, SUM(""Revenue"") AS total_revenue FROM product_sales WHERE EXTRACT(YEAR FROM ""Order_Date"") = 2024 GROUP BY TO_CHAR(""Order_Date"", 'YYYY-MM') ORDER BY TO_CHAR(""Order_Date"", 'YYYY-MM')",True,True,True,False,True,alias_only,,False,time group by
56,group_by,hard,"Lợi nhuận theo danh mục con ở khu vực South, sắp xếp giảm dần.","SELECT ""Sub_Category"", SUM(""Profit"") AS total_profit FROM product_sales WHERE ""Region"" = 'South' GROUP BY ""Sub_Category"" ORDER BY total_profit DESC","SELECT ""Sub_Category"", SUM(""Profit"") AS total_profit FROM product_sales WHERE ""Region"" = 'South' GROUP BY ""Sub_Category"" ORDER BY total_profit DESC LIMIT 100",True,True,True,True,True,strict,,False,group by filter order
57,top_k_raw,medium,Liệt kê 10 dòng đơn hàng có doanh thu cao nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales ORDER BY ""Revenue"" DESC LIMIT 10","SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales ORDER BY ""Revenue"" DESC LIMIT 10",True,True,True,True,True,strict,,False,row-level top k
58,top_k_raw,medium,Liệt kê 5 dòng đơn hàng có lợi nhuận cao nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Profit"" FROM product_sales ORDER BY ""Profit"" DESC LIMIT 5","SELECT ""Order_Date"", ""Product_Name"", ""Profit"" FROM product_sales ORDER BY ""Profit"" DESC LIMIT 5",True,True,True,True,True,strict,,False,row-level top k
59,top_k_raw,medium,Liệt kê 7 dòng đơn hàng có đơn giá cao nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Unit_Price"" FROM product_sales ORDER BY ""Unit_Price"" DESC LIMIT 7","SELECT ""Order_Date"", ""Product_Name"", ""Unit_Price"" FROM product_sales ORDER BY ""Unit_Price"" DESC LIMIT 7",True,True,True,True,True,strict,,False,row-level top k
60,top_k_raw,medium,Liệt kê 5 dòng đơn hàng có số lượng lớn nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Quantity"" FROM product_sales ORDER BY ""Quantity"" DESC LIMIT 5","SELECT ""Order_Date"", ""Product_Name"", ""Quantity"", ""Revenue"" FROM product_sales ORDER BY ""Quantity"" DESC LIMIT 5",True,True,False,False,False,mismatch,Result mismatch,False,row-level top k
61,top_k_raw,medium,Liệt kê 5 dòng đơn hàng doanh thu thấp nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales ORDER BY ""Revenue"" ASC LIMIT 5","SELECT ""Order_Date"", ""Product_Name"", ""Revenue"" FROM product_sales ORDER BY ""Revenue"" ASC LIMIT 5",True,True,True,True,True,strict,,False,row-level bottom k
62,top_k_raw,medium,Liệt kê 10 dòng đơn hàng lợi nhuận thấp nhất.,"SELECT ""Order_Date"", ""Product_Name"", ""Profit"" FROM product_sales ORDER BY ""Profit"" ASC LIMIT 10","SELECT ""Order_Date"", ""Product_Name"", ""Profit"" FROM product_sales ORDER BY ""Profit"" ASC LIMIT 10",True,True,True,True,True,strict,,False,row-level bottom k
63,top_k_aggregate,hard,Top 10 sản phẩm theo tổng doanh thu.,"SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Product_Name"" ORDER BY total_revenue DESC LIMIT 10","SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Product_Name"" ORDER BY total_revenue DESC LIMIT 10",True,True,True,True,True,strict,,False,entity-level top k
64,top_k_aggregate,hard,Top 3 danh mục có tổng lợi nhuận cao nhất.,"SELECT ""Category"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Category"" ORDER BY total_profit DESC LIMIT 3","SELECT ""Category"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Category"" ORDER BY total_profit DESC LIMIT 3",True,True,True,True,True,strict,,False,entity-level top k
65,top_k_aggregate,hard,Top 5 thành phố có tổng doanh thu cao nhất.,"SELECT ""City"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""City"" ORDER BY total_revenue DESC LIMIT 5","SELECT ""City"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""City"" ORDER BY total_revenue DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k
66,top_k_aggregate,hard,Top 5 bang có nhiều đơn hàng nhất.,"SELECT ""State"", COUNT(*) AS order_count FROM product_sales GROUP BY ""State"" ORDER BY order_count DESC LIMIT 5","SELECT ""State"" AS bang, COUNT(*) AS so_don_hang FROM product_sales GROUP BY ""State"" ORDER BY so_don_hang DESC LIMIT 5",True,True,True,False,True,alias_only,,False,entity-level top k count
67,top_k_aggregate,hard,Top 4 danh mục con có số lượng bán ra nhiều nhất.,"SELECT ""Sub_Category"", SUM(""Quantity"") AS total_quantity FROM product_sales GROUP BY ""Sub_Category"" ORDER BY total_quantity DESC LIMIT 4","SELECT ""Sub_Category"", SUM(""Quantity"") AS total_quantity FROM product_sales GROUP BY ""Sub_Category"" ORDER BY total_quantity DESC LIMIT 4",True,True,True,True,True,strict,,False,entity-level top k
68,top_k_aggregate,hard,Top 5 sản phẩm có lợi nhuận cao nhất.,"SELECT ""Product_Name"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Product_Name"" ORDER BY total_profit DESC LIMIT 5","SELECT ""Product_Name"", SUM(""Profit"") AS total_profit FROM product_sales GROUP BY ""Product_Name"" ORDER BY total_profit DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k
69,top_k_aggregate,hard,Top 5 khu vực có doanh thu cao nhất.,"SELECT ""Region"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Region"" ORDER BY total_revenue DESC LIMIT 5","SELECT ""Region"", SUM(""Revenue"") AS total_revenue FROM product_sales GROUP BY ""Region"" ORDER BY total_revenue DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k
70,top_k_aggregate,hard,Top 3 danh mục có doanh thu trung bình cao nhất.,"SELECT ""Category"", AVG(""Revenue"") AS average_revenue FROM product_sales GROUP BY ""Category"" ORDER BY average_revenue DESC LIMIT 3","SELECT ""Category"", AVG(""Revenue"") AS average_revenue FROM product_sales GROUP BY ""Category"" ORDER BY average_revenue DESC LIMIT 3",True,True,True,True,True,strict,,False,entity-level top k average
71,top_k_aggregate,hard,Top 5 sản phẩm ở khu vực West theo tổng doanh thu.,"SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'West' GROUP BY ""Product_Name"" ORDER BY total_revenue DESC LIMIT 5","SELECT ""Product_Name"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Region"" = 'West' GROUP BY ""Product_Name"" ORDER BY total_revenue DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k with filter
72,top_k_aggregate,hard,Top 5 thành phố trong năm 2024 theo tổng lợi nhuận.,"SELECT ""City"", SUM(""Profit"") AS total_profit FROM product_sales WHERE ""Order_Date"" >= '2024-01-01' AND ""Order_Date"" < '2025-01-01' GROUP BY ""City"" ORDER BY total_profit DESC LIMIT 5","SELECT ""City"", SUM(""Profit"") AS total_profit FROM product_sales WHERE EXTRACT(YEAR FROM ""Order_Date"") = 2024 GROUP BY ""City"" ORDER BY total_profit DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k with date
73,top_k_aggregate,hard,Top 5 danh mục con của Electronics theo doanh thu.,"SELECT ""Sub_Category"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Category"" = 'Electronics' GROUP BY ""Sub_Category"" ORDER BY total_revenue DESC LIMIT 5","SELECT ""Sub_Category"", SUM(""Revenue"") AS total_revenue FROM product_sales WHERE ""Category"" = 'Electronics' GROUP BY ""Sub_Category"" ORDER BY total_revenue DESC LIMIT 5",True,True,True,True,True,strict,,False,entity-level top k with filter
