id,category,question,generated_sql,failure_nature,diagnosis,v2_fix
19,simple_filter,"Liệt kê đơn hàng thuộc bang California.","SELECT * FROM product_sales WHERE ""State"" = 'California' LIMIT 100",select_star_regression,"Model dùng SELECT * cho listing filter.","Projection checker + matched contents: State='California' là matched value nên output nên include State."
20,simple_filter,"Liệt kê đơn hàng thuộc danh mục Home & Furniture.","SELECT * FROM product_sales WHERE ""Category"" = 'Home & Furniture' LIMIT 100",select_star_regression,"Model dùng SELECT * cho listing filter.","Projection checker: no SELECT *."
21,simple_filter,"Liệt kê đơn hàng thuộc danh mục con Smartphones.","SELECT * FROM product_sales WHERE ""Sub_Category"" = 'Smartphones' LIMIT 100",select_star_regression,"Model dùng SELECT * cho listing filter.","Projection checker: no SELECT *."
22,simple_filter,"Liệt kê đơn hàng có sản phẩm Apple Watch.","SELECT * FROM product_sales WHERE ""Product_Name"" = 'Apple Watch' LIMIT 100",select_star_regression,"Model dùng SELECT * cho listing filter.","Projection checker: no SELECT *."
28,multi_condition_filter,"Liệt kê đơn hàng sản phẩm Backpack có số lượng lớn hơn 2.","SELECT * FROM product_sales WHERE ""Product_Name"" = 'Backpack' AND ""Quantity"" > 2 LIMIT 100",select_star_regression,"Model dùng SELECT * trong multi-condition listing.","Projection checker: no SELECT *; matched content retriever giúp chọn Product_Name/Quantity."
25,multi_condition_filter,"Liệt kê đơn hàng ở khu vực Centre thuộc danh mục Electronics.","SELECT ""Order_Date"", ""Customer_Name"", ""City"", ""Product_Name"", ""Quantity"", ""Unit_Price"", ""Revenue"", ""Profit"" FROM product_sales WHERE ""Region"" = 'Centre' AND ""Category"" = 'Electronics' LIMIT 100",over_projection,"SQL không SELECT * nhưng vẫn chọn quá nhiều cột và thiếu filter columns Region/Category trong output.","Projection planner: với filter theo dimension, include dimension filter columns và một tập row descriptor tối thiểu."
26,multi_condition_filter,"Liệt kê đơn hàng ở thành phố Aurora có doanh thu trên 1000.","SELECT ""Order_Date"", ""Customer_Name"", ""Product_Name"", ""Quantity"", ""Unit_Price"", ""Revenue"", ""Profit"" FROM product_sales WHERE ""City"" = 'Aurora' AND ""Revenue"" > 1000 LIMIT 100",over_projection,"Model chọn nhiều cột hơn gold và không include City dù filter theo City.","Projection checker: filter column should appear in row-level listing output."
30,multi_condition_filter,"Liệt kê đơn hàng khu vực South, danh mục Electronics, doanh thu trên 2000.","SELECT ""Order_Date"", ""Customer_Name"", ""City"", ""Product_Name"", ""Quantity"", ""Unit_Price"", ""Revenue"", ""Profit"" FROM product_sales WHERE ""Region"" = 'South' AND ""Category"" = 'Electronics' AND ""Revenue"" > 2000 LIMIT 100",over_projection,"Projection quá rộng và thiếu Region/Category dù question dùng hai filter này.","Projection checker: include filter dimensions; avoid unrelated customer/city/unit_price unless asked."
31,multi_condition_filter,"Liệt kê đơn hàng ở East, danh mục con Laptops, lợi nhuận trên 300.","SELECT ""Order_Date"", ""Customer_Name"", ""Product_Name"", ""Profit"" FROM product_sales WHERE ""Region"" = 'East' AND ""Sub_Category"" = 'Laptops' AND ""Profit"" > 300 LIMIT 100",over_projection,"Projection thiếu Region/Sub_Category và thêm Customer_Name không được hỏi.","Projection checker/matched contents: include matched dimension columns."
34,multi_condition_filter,"Liệt kê đơn hàng ở Centre, danh mục Accessories, số lượng từ 3 trở lên và lợi nhuận trên 100.","SELECT ""Order_Date"", ""Customer_Name"", ""City"", ""Product_Name"", ""Quantity"", ""Unit_Price"", ""Revenue"", ""Profit"" FROM product_sales WHERE ""Region"" = 'Centre' AND ""Category"" = 'Accessories' AND ""Quantity"" >= 3 AND ""Profit"" > 100 LIMIT 100",over_projection,"Projection quá rộng, thiếu Region/Category, thêm nhiều cột không được hỏi.","Projection planner/semantic checker thay vì prompt rule thủ công."
